symbol,encoding
ɒ,0
ɑ,0
ɶ,0
a,0
æ,0
ʌ,0
ɔ,0
o,0
ɤ,0
ɘ,0
œ,0
ə,0
e,0
ɞ,0
ø,0
ɛ,0
ɵ,0
ɯ,0
u,0
ʊ,0
ɨ,0
ʉ,0
y,0
i,0
ʏ,0
ɪ,0
ŋ̟,0
ʟ̟,0
ɫ,0
ɴ,0
ʀ,0
ɲ,0
ʎ,0
ŋ,0
ŋ̠,0
ʟ,0
ʟ̠,0
ɳ,0
ʙ,0
ɭ,0
ɺ,0
ɻ,0
ɽ,0
r,0
n,0
m,0
l,0
ɾ,0
ɱ,0
ʔ ,0
ɣ̟,0
x̟,0
k̟,0
ɡ̟,0
k̟͡x̟,0
ɡ̟͡ɣ̟,0
ħ,0
ʕ,0
ʁ,0
q,0
χ,0
ɢ,0
ɕ ,0
ɟ,0
ʝ,0
c,0
ç,0
d͡ʑ ,0
t͡ɕ,0
ɣ,0
ɣ̠,0
x,0
x̠,0
k,0
k̠,0
ɡ,0
ɡ̠,0
ʑ,0
ʈ,0
ɖ,0
ɬ,0
ʐ,0
ɸ,0
ʂ,0
ʒ,0
z,0
v,0
t,0
ʃ,0
s,0
p,0
f,0
d,0
b,0
θ,0
ɮ,0
ð,0
β,0
d͡ʒ,0
d͡z,0
d͡ɮ,0
d̠͡ɮ̠,0
t͡ʃ,0
t̠͡ɬ̠,0
t͡s,0
t͡ɬ,0
t̪͡s̪,0
t̪͡ɬ̪,0
d̪͡z̪,0
d̪͡ɮ̪,0
ʈ͡ʂ,0
ɖ͡ʐ,0
p͡f,0
b͡v,0
p͡ɸ,0
b͡β,0
t̪͡θ,0
d̪͡ð,0
c͡ç,0
ɟ͡ʝ,0
k͡x,0
k̠͡x̠,0
ɡ͡ɣ,0
ɡ̠͡ɣ̠,0
q͡χ,0
ɢ͡ʁ,0
ɧ,0
k͡p,0
ɡ͡b,0
p͡t,0
b͡d,0
ɰ,0
ɰ̠,0
w,0
ɥ,0
j,0
ɹ,0
ʋ,0
ʍ,0
ɦ,0
h,0
